"KDE_BANDWIDTH_SCALE","label","Q","n_minus","n0","n_plus","k_minus","k0","k_plus","deltaD","p_vs_model_scanmax_null","p_vs_fixed_model_null","A_minus","A0","A_plus","any_A_bound_active","success","radial_max","radial_above_0p1","mode"
0.75,"dense_Q_0.565000",0.565,8.475,15,16.95,11.1398160593745,19.7164886006628,22.279632118749,250.542485995808,0.0001999600079984,0.0001999600079984,0.0746254603441441,0.136818002622407,0.0982779898804062,"True","True",0.136818002622407,TRUE,"parity"
0.75,"dense_Q_0.560000",0.56,8.4,15,16.8,11.0412336163712,19.7164886006628,22.0824672327424,247.963017628147,0.0001999600079984,0.0001999600079984,0.0748178110235813,0.140121148104425,0.0973471280464201,"True","True",0.140121148104425,TRUE,"parity"
0.75,"dense_Q_0.555000",0.555,8.325,15,16.65,10.9426511733679,19.7164886006628,21.8853023467357,250.802869356912,0.0001999600079984,0.0001999600079984,0.0754588453399008,0.14142135623731,0.0994035103107861,"True","True",0.14142135623731,TRUE,"parity"
0.75,"dense_Q_0.550000",0.55,8.25,15,16.5,10.8440687303646,19.7164886006628,21.6881374607291,258.227392447946,0.0001999600079984,0.0001999600079984,0.0767297868656488,0.139285526769664,0.100448431491099,"True","True",0.139285526769664,TRUE,"parity"
0.75,"spin1_Qhalf",0.5,7.5,15,15,9.85824430033141,19.7164886006628,19.7164886006628,197.902103587342,0.0001999600079984,0.0001999600079984,0.106165460955909,0.0626658007222348,0.0626658007222348,"False","True",0.106165460955909,TRUE,"parity"
0.75,"spin32_Q4over9",0.444444444444444,6.66666666666667,15,13.3333333333333,8.76288382251681,19.7164886006628,17.5257676450336,389.72538832367,0.0001999600079984,0.0001999600079984,0.102367036143286,0.118191433438751,0.101514064041417,"True","True",0.118191433438751,TRUE,"parity"
0.75,"neutrino_like_Qthird",0.333333333333333,5,15,10,6.57216286688761,19.7164886006628,13.1443257337752,335.132479634161,0.0001999600079984,0.0001999600079984,0.118515728426795,0.131497569536531,0.128080234369267,"True","True",0.131497569536531,TRUE,"parity"
1,"threshold_Q1",1,15,15,30,19.7164886006628,19.7164886006628,39.4329772013257,156.955741441348,0.0001999600079984,0.0001999600079984,0.0724669536421432,0.0724669281588293,0.0270157803989785,"False","True",0.0724669536421432,FALSE,"parity"
1,"near_075",0.75,11.25,15,22.5,14.7873664504971,19.7164886006628,29.5747329009942,400.329086842517,0.0001999600079984,0.0001999600079984,0.122198675316147,0.135465503291396,0.0735249742827751,"True","True",0.135465503291396,TRUE,"parity"
1,"dense_Q_0.745000",0.745,11.175,15,22.35,14.6887840074938,19.7164886006628,29.3775680149876,415.454334797208,0.0001999600079984,0.0001999600079984,0.14142135623731,0.137800430317259,0.0699608937612585,"True","True",0.14142135623731,TRUE,"parity"
1,"dense_Q_0.740000",0.74,11.1,15,22.2,14.5902015644905,19.7164886006628,29.180403128981,416.985885745311,0.0001999600079984,0.0001999600079984,0.14142135623731,0.140509404688509,0.0624569369609646,"True","True",0.14142135623731,TRUE,"parity"
1,"dense_Q_0.735000",0.735,11.025,15,22.05,14.4916191214872,19.7164886006628,28.9832382429744,401.233790899082,0.0001999600079984,0.0001999600079984,0.134308786290066,0.140734305122474,0.0590537099090143,"True","True",0.140734305122474,TRUE,"parity"
1,"dense_Q_0.730000",0.73,10.95,15,21.9,14.3930366784839,19.7164886006628,28.7860733569677,385.132727048595,0.0001999600079984,0.0001999600079984,0.112468842090939,0.136734421811587,0.063625630141536,"True","True",0.136734421811587,TRUE,"parity"
1,"dense_Q_0.725000",0.725,10.875,15,21.75,14.2944542354806,19.7164886006628,28.5889084709611,377.419573037416,0.0001999600079984,0.0001999600079984,0.100619262193917,0.133384299896061,0.0698729618781196,"True","True",0.133384299896061,TRUE,"parity"
1,"dense_Q_0.720000",0.72,10.8,15,21.6,14.1958717924772,19.7164886006628,28.3917435849545,379.679296370878,0.0001999600079984,0.0001999600079984,0.104610872363473,0.131433853622929,0.0758341538229335,"True","True",0.131433853622929,TRUE,"parity"
1,"dense_Q_0.715000",0.715,10.725,15,21.45,14.0972893494739,19.7164886006628,28.1945786989478,390.379870834953,0.0001999600079984,0.0001999600079984,0.123243095108438,0.13142058455323,0.0801677521951772,"True","True",0.13142058455323,TRUE,"parity"
