"k","n_eff","delta_chi2","amp","phase"
10.76,8.1860418084067,191.470583527931,1.64842132689217,1.02502134170876
10.78,8.20125749950039,195.376376089633,1.66899954439393,0.955530159512122
10.8,8.21647319059409,200.377059205945,1.69429414931908,0.887233913485314
10.82,8.23168888168778,206.466350915325,1.72400755343472,0.820443331883444
10.84,8.24690457278147,213.628797612131,1.75778484415128,0.755399131351155
10.86,8.26212026387516,221.840088781511,1.79522985719973,0.692271377040081
10.88,8.27733595496885,231.067468856578,1.83592073510038,0.631163495472183
10.9,8.29255164606255,241.270233587122,1.87942402083407,0.572119590554449
10.92,8.30776733715624,252.40029663864,1.92530669875854,0.51513366941081
10.94,8.32298302824993,264.402810919782,1.97314592446855,0.460159560916542
10.96,8.33819871934363,277.216828418826,2.0225364415018,0.40712059938164
10.98,8.35341441043732,290.775982152707,2.07309585400225,0.355918458466122
11,8.36863010153101,305.009174216171,2.12446801889397,0.306440797417908
11.02,8.3838457926247,319.841254862036,2.17632485666286,0.258567595633586
11.04,8.3990614837184,335.193679024647,2.22836687623538,0.212176197888645
11.06,8.41427717481209,350.985128670414,2.28032268378401,0.167145180090016
11.08,8.42949286590578,367.132091755349,2.33194771026237,0.123357188053919
11.1,8.44470855699948,383.549391300126,2.38302235630491,0.0807009138115012
11.12,8.45992424809317,400.150661054005,2.43334972039131,0.0390723672249508
11.14,8.47513993918686,416.848767290161,2.48275304883191,-0.00162441586329925
11.16,8.49035563028055,433.556179330215,2.53107302445914,-0.0414771081269819
11.18,8.50557132137425,450.18529430444,2.57816499425436,-0.0805651676408208
11.2,8.52078701246794,466.648724290037,2.62389622340784,-0.118960175625639
11.22,8.53600270356163,482.85955621412,2.66814325331024,-0.15672636954742
11.24,8.55121839465532,498.731596656849,2.71078943259759,-0.193921319200366
11.26,8.56643408574902,514.179614857596,2.75172268269863,-0.230596703866194
11.28,8.58164977684271,529.119597750101,2.79083355167517,-0.266799156828173
11.3,8.5968654679364,543.469030693886,2.82801360204712,-0.302571149885443
11.32,8.6120811590301,557.147216718546,2.86315416952556,-0.337951895502277
11.34,8.62729685012379,570.075645573088,2.89614552010185,-0.372978248221417
11.36,8.64251254121748,582.178421721077,2.92687642288436,-0.407685590278818
11.38,8.65772823231117,593.382757716918,2.95523414568147,-0.442108689206293
11.4,8.67294392340487,603.619536237387,2.98110486992894,-0.476282517749926
11.42,8.68815961449856,612.823940544666,3.0043745115206,-0.510243028749398
11.44,8.70337530559225,620.936149458779,3.02492992480058,-0.544027879744875
11.46,8.71859099668595,627.902089165909,3.04266045876133,-0.577677103989477
11.48,8.73380668777964,633.674230538101,3.05745982766118,-0.611233726201879
11.5,8.74902237887333,638.212417241033,3.06922825304845,-0.644744322730833
11.52,8.76423806996702,641.484706904037,3.07787483068736,-0.678259526745838
11.54,8.77945376106072,643.468205149085,3.083320074154,-0.711834479534211
11.56,8.79466945215441,644.149870431025,3.08549858683561,-0.74552922889054
11.58,8.8098851432481,643.5272665103,3.08436181554176,-0.779409074842631
11.6,8.82510083434179,641.609239012399,3.07988084163794,-0.813544861477802
11.62,8.84031652543549,638.416492941378,3.07204916915571,-0.848013211316268
11.64,8.85553221652918,633.982049191971,3.06088547323574,-0.882896695418632
11.66,8.87074790762287,628.35155999714,3.04643627594943,-0.918283928097218
11.68,8.88596359871656,621.583465778927,3.02877851935939,-0.954269569611536
11.7,8.90117928981026,613.748978941345,3.00802200688022,-0.990954213463947
11.72,8.91639498090395,604.931883639696,2.98431168277869,-1.02844412681422
11.74,8.93161067199764,595.228144358298,2.95782971514417,-1.06685080313331
11.76,8.94682636309134,584.745320104601,2.92879733898651,-1.10629027571799
11.78,8.96204205418503,573.60178506474,2.89747640244316,-1.14688212956805
11.8,8.97725774527872,561.925760558941,2.86417053971033,-1.18874813829637
11.82,8.99247343637241,549.854166996054,2.82922586888732,-1.23201044373027
11.84,9.00768912746611,537.531308185014,2.79303108165257,-1.27678919103652
11.86,9.0229048185598,525.107403765498,2.75601675574852,-1.32319953496085
11.88,9.03812050965349,512.73698863581,2.71865368326581,-1.3713479476334
11.9,9.05333620074719,500.577201061315,2.68144997234629,-1.4213277908385
11.92,9.06855189184088,488.785983627913,2.64494665441153,-1.47321417151045
11.94,9.08376758293457,477.520223351832,2.60971152351671,-1.52705818337229
