i_A,i_B,region_A,region_B,A_n1,A_n2,A_n3,A_Q_low,A_Q_high,A_Q_mean,A_koide_error,A_mean_deltaD,B_n1,B_n2,B_n3,B_Q_low,B_Q_high,B_Q_mean,B_koide_error,B_mean_deltaD,scale_a,scale_rmse,affine_a,affine_b,affine_rmse,phase_coherence,mean_phase_offset
20,139,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,9.814120755431825,11.046591734020936,0.47441860465116276,0.5627906976744185,0.5186046511627906,0.2185166682035847,348.2703376270838,14.013651497291022,17.634985977589896,18.502280369930386,0.7946505608283003,0.5245901639344264,0.6596203623813633,0.19122136332899767,149.57788207739176,1.8444378854039158,3.3248914760087986,0.702288154369851,10.743610629788039,0.000724304925579366,0.7668287421265112,0.49980371073467406
45,127,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,13.602827837761318,14.56141637666396,0.3422818791946309,0.535234899328859,0.43875838926174493,0.3499997140124794,404.6321134511856,13.085494340575764,18.502280369930386,19.080476631490708,0.707236842105263,0.5156249999999999,0.6114309210526314,0.15639540979377548,163.64567220753807,1.4100250950809994,3.8765267062190785,0.6053103111255909,10.267272737570755,0.0008390276094446283,0.40700122678199724,3.0625618871645197
218,158,B_low_sideband_Kst_signal,signal_B_signal_Kst,14.56141637666396,19.01961386711593,19.97820240601858,0.7656000000000003,0.5252000000000002,0.6454000000000002,0.17262856722519077,378.7405321496696,15.824318737440455,18.502280369930386,19.080476631490708,0.8552631578947365,0.5156249999999999,0.6854440789473681,0.24162413284476347,129.4210742964032,0.9903538951597668,0.9269917801125187,0.600986359060559,7.072902504860584,0.0008683719410028586,0.8055228309056438,2.0923528066081247
145,47,B_low_sideband_Kst_signal,signal_B_signal_Kst,9.814120755431825,11.046591734020936,14.56141637666396,0.8884297520661159,0.6590909090909091,0.7737603305785125,0.22189244725481322,367.62908332500956,11.168317262770476,12.142121492766814,14.911377271818894,0.9197994987468671,0.6140350877192983,0.7669172932330827,0.2585465408382715,211.2080736552723,1.0708399903171144,0.5764065392047383,0.7883331425737288,3.4324592872262665,0.000930385482909365,0.7325664018255238,-2.6696587731069963
42,156,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,12.12690580167312,18.076241019306984,0.38393977415307406,0.7452948557089084,0.5646173149309912,0.2934567904521124,367.2449069005497,15.824318737440455,17.634985977589896,19.080476631490708,0.8973252804141499,0.5409836065573771,0.7191544434857635,0.262677802058617,135.05565208743747,1.2763896085812982,6.277675025545151,0.24261916261479435,14.694094659188503,0.0009413396709866216,0.3433922598243324,1.5551717143494017
69,48,B_low_sideband_Kst_signal,signal_B_signal_Kst,7.623061237940067,9.814120755431825,18.076241019306984,0.7767441860465114,0.9209302325581393,0.8488372093023253,0.27706862184785086,346.22898468303384,11.168317262770476,12.142121492766814,15.824318737440455,0.9197994987468671,0.6516290726817041,0.7857142857142856,0.2535790999073061,209.08984997734956,1.0190505059253163,2.761940834255399,0.44548564288924963,7.771345803658878,0.0009503030378301718,0.33333333333333326,1.5988292616073014
90,152,B_low_sideband_Kst_signal,signal_B_signal_Kst,7.623061237940067,13.602827837761318,14.56141637666396,0.5604026845637583,0.535234899328859,0.5478187919463087,0.16901580801187446,425.24827941303147,14.911377271818894,18.502280369930386,19.080476631490708,0.8059210526315789,0.5156249999999999,0.6607730263157894,0.20543945356213644,131.53929797432593,1.4130419523866198,2.5748939314401373,0.6007468186508143,10.331674791548854,0.0009579095919268894,0.8060616819381983,2.691013320348907
35,140,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,11.046591734020936,13.602827837761318,0.42148760330578516,0.6157024793388429,0.518595041322314,0.2504198903851382,402.4932787523879,14.013651497291022,17.634985977589896,19.080476631490708,0.7946505608283003,0.5409836065573771,0.6678170836928388,0.17937700176781735,152.58325972984304,1.580576190114004,4.089351615992648,0.5663919413919417,11.376919928854427,0.0009946808435829769,0.3226707192921096,1.533237651768554
26,117,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,9.814120755431825,19.97820240601858,0.47441860465116276,1.017829457364341,0.7461240310077518,0.400343131475108,333.37201291454784,13.085494340575764,14.911377271818894,18.502280369930386,0.8775510204081632,0.6204081632653062,0.7489795918367348,0.21589826259120834,173.50147632031,1.1156135975967376,5.5469084886637345,0.35349296658062435,11.440637170990142,0.0010919144900794473,0.7325208510586569,-1.9701336905411513
208,149,B_low_sideband_Kst_signal,signal_B_signal_Kst,12.12690580167312,18.076241019306984,19.97820240601858,0.6708754208754208,0.5526094276094277,0.6117424242424243,0.11413486493333168,369.5664931871418,14.911377271818894,17.634985977589896,18.502280369930386,0.8455565142364108,0.5245901639344264,0.6850733390854186,0.2284454205978981,134.1684981129089,0.9957666339037409,1.8358185207517388,0.4574686840156219,9.36408260877858,0.001172432742679773,0.24549077945720849,-3.102797354697231
162,0,B_low_sideband_Kst_signal,signal_B_signal_Kst,9.814120755431825,18.076241019306984,19.97820240601858,0.542929292929293,0.5526094276094277,0.5477693602693603,0.1682854463130506,327.9344050077801,6.953570829817586,11.168317262770476,12.142121492766814,0.622615803814714,0.5435967302452317,0.5831062670299729,0.13071605780766787,201.4851956191419,0.6235765224261954,0.5181875720410251,0.5103740197542488,1.9443793548524946,0.00128254757321163,0.33331922482555165,1.5947778887434374
127,77,B_low_sideband_Kst_signal,signal_B_signal_Kst,8.672943923404866,13.602827837761318,18.076241019306984,0.6375838926174495,0.6644295302013422,0.6510067114093958,0.029168690851018673,377.034563784158,11.168317262770476,17.634985977589896,23.508242739755296,0.6333045729076789,0.6665228645383952,0.649913718723037,0.0333624036759281,135.91860758438352,1.2975791566093993,0.0587601959117846,1.312288082381013,-0.2139731639285324,0.0013226084730645585,0.21607160056187394,-0.05308860940304206
207,103,B_low_sideband_Kst_signal,signal_B_signal_Kst,12.12690580167312,18.076241019306984,19.01961386711593,0.6708754208754208,0.526094276094276,0.5984848484848484,0.14063538176158397,388.3953982788774,12.142121492766814,17.634985977589896,18.502280369930386,0.6885245901639344,0.5245901639344264,0.6065573770491803,0.14374804850235945,168.19844130544206,0.9788988967465984,0.1737179483063538,0.9229279371377102,0.9501089527331573,0.0013872028403384678,0.7242188081351356,1.146243312609318
188,86,B_low_sideband_Kst_signal,signal_B_signal_Kst,11.046591734020936,12.12690580167312,19.01961386711593,0.9109159347553326,0.7841907151819321,0.8475533249686323,0.27105277519565724,411.0529171847732,12.142121492766814,13.085494340575764,19.080476631490708,0.9279069767441861,0.7290697674418605,0.8284883720930233,0.2685901088941242,210.53679716529442,1.0394464150382507,0.6167631772404776,0.8700605990602823,2.5325095604957193,0.001413045437315374,0.337554901618318,-3.0300578497604493
136,121,B_low_sideband_Kst_signal,signal_B_signal_Kst,9.814120755431825,10.437964090273224,11.046591734020936,0.9402332361516038,0.5291545189504374,0.7346938775510206,0.30618337431886633,347.29142259093004,13.085494340575764,15.824318737440455,18.502280369930386,0.8269230769230771,0.5846153846153849,0.7057692307692309,0.18004035634970825,171.38325264238725,1.5215113280993027,1.4475467736021441,4.395041658199572,-30.04896465548815,0.0014168026407586022,0.3948547019228956,1.6074088093229562
76,92,B_low_sideband_Kst_signal,signal_B_signal_Kst,7.623061237940067,10.437964090273224,18.076241019306984,0.7303206997084548,0.8658892128279884,0.7981049562682216,0.20914458831508176,350.1093518057484,12.142121492766814,14.013651497291022,19.080476631490708,0.8664495114006514,0.6807817589576547,0.773615635179153,0.20028085500213588,193.83980689656514,1.1821030211337304,2.438603563668851,0.6636696482976749,7.084347591416785,0.0014225215383660463,0.3703254854302739,1.5652380812107145
149,61,B_low_sideband_Kst_signal,signal_B_signal_Kst,9.814120755431825,12.12690580167312,13.602827837761318,0.8092848180677543,0.560853199498118,0.6850690087829361,0.17758498512907306,417.1868916148849,11.168317262770476,14.013651497291022,15.824318737440455,0.796959826275787,0.5646036916395221,0.6807817589576546,0.16550878620882714,190.46929074929926,1.1549644144460594,0.1165000749017078,1.2290348519795984,-0.8927827758256344,0.0014573140756759598,0.3333333333333333,-1.5445284973840803
