KDE_BANDWIDTH_SCALE,label,Q,obs_deltaD,p_vs_fixed_model_null,p_vs_model_scanmax_null,null_fixed_mean,null_fixed_std,null_scanmax_mean,null_scanmax_std
0.5,dense_Q_0.570000,0.57,149.1879782554504,0.0001999600079984003,0.0001999600079984003,6.0267893537905515,3.508836684038082,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.565000,0.565,146.15167931492613,0.0001999600079984003,0.0001999600079984003,6.024879290795511,3.5166741543134177,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.560000,0.56,145.74799167833078,0.0001999600079984003,0.0001999600079984003,6.028219111259249,3.527145336309972,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.555000,0.555,148.70533991346952,0.0001999600079984003,0.0001999600079984003,6.03431062352024,3.5300648521490823,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.550000,0.55,154.62724125333398,0.0001999600079984003,0.0001999600079984003,6.0392160379488695,3.5186366078103335,10.96927694617047,3.8988539611223203
0.5,spin1_Qhalf,0.5,127.01228080616954,0.0001999600079984003,0.0001999600079984003,4.070006460821521,2.8964976863668537,10.96927694617047,3.8988539611223203
0.5,spin32_Q4over9,0.4444444444444444,234.65891567757228,0.0001999600079984003,0.0001999600079984003,6.006552872251292,3.424468817476239,10.96927694617047,3.8988539611223203
0.5,neutrino_like_Qthird,0.3333333333333333,206.10801294733483,0.0001999600079984003,0.0001999600079984003,5.989732615528349,3.3850896953746488,10.96927694617047,3.8988539611223203
0.75,threshold_Q1,1.0,134.4859110147072,0.0001999600079984003,0.0001999600079984003,4.020971294823558,2.91032645176636,11.052901539714172,3.9474372190349305
0.75,near_075,0.75,336.1431239856681,0.0001999600079984003,0.0001999600079984003,6.052207858308189,3.504848827709496,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.745000,0.745,342.7940695070388,0.0001999600079984003,0.0001999600079984003,6.044716386698636,3.5006270301984586,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.740000,0.74,347.04277127616865,0.0001999600079984003,0.0001999600079984003,6.038319384577307,3.4970330134011998,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.735000,0.735,338.4259108261085,0.0001999600079984003,0.0001999600079984003,6.031264491390166,3.4934132267492943,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.730000,0.73,327.52730567624394,0.0001999600079984003,0.0001999600079984003,6.021343252317001,3.4923758943151832,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.725000,0.725,320.2308627415373,0.0001999600079984003,0.0001999600079984003,6.008920632700211,3.498747096970619,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.720000,0.72,318.3772283730284,0.0001999600079984003,0.0001999600079984003,5.998397553268135,3.5146644329598216,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.715000,0.715,321.6834401732765,0.0001999600079984003,0.0001999600079984003,5.995984048273611,3.535982871033528,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.710000,0.71,327.13104013593943,0.0001999600079984003,0.0001999600079984003,6.004882601167544,3.5531787172337963,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.705000,0.705,329.80273408149856,0.0001999600079984003,0.0001999600079984003,6.022029227966212,3.557933707618812,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.700000,0.7,325.710902403584,0.0001999600079984003,0.0001999600079984003,6.039306940335045,3.550738284626908,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.695000,0.695,320.9275381913819,0.0001999600079984003,0.0001999600079984003,6.048443241538898,3.5393163120496256,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.690000,0.69,317.3263503662856,0.0001999600079984003,0.0001999600079984003,6.046228980820361,3.5291463140684076,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.685000,0.685,315.27508995564654,0.0001999600079984003,0.0001999600079984003,6.036368438458948,3.5202800599271007,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.680000,0.68,314.34519541592726,0.0001999600079984003,0.0001999600079984003,6.026644404076325,3.512059453740992,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.675000,0.675,313.6869407080667,0.0001999600079984003,0.0001999600079984003,6.023664863980815,3.5056382342314656,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.670000,0.67,312.25304400953655,0.0001999600079984003,0.0001999600079984003,6.028965495995716,3.502481673327069,11.052901539714172,3.9474372190349305
0.75,koide_lepton,0.6666666666666666,310.32009880660485,0.0001999600079984003,0.0001999600079984003,6.0353470803403715,3.5023121253275264,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.665000,0.665,309.3528466952007,0.0001999600079984003,0.0001999600079984003,6.038718585192708,3.502604123087284,11.052901539714172,3.9474372190349305
0.75,dense_Q_0.660000,0.66,307.4904993486334,0.0001999600079984003,0.0001999600079984003,6.047005181448167,3.5026980412027173,11.052901539714172,3.9474372190349305
