KDE_BANDWIDTH_SCALE,n,k2,D_base,A1_base,base_success,D_two,deltaD,C,A1,phi1,A2,phi2,success,A1_bound_active,A2_bound_active,delta_k_from_reference,abs_delta_k_from_reference,p_vs_integer_scanmax_null,z_vs_integer_scanmax_null,p_vs_fixed_n_null,z_vs_fixed_n_null,null_best_p95,null_best_p99,null_best_mean
1.25,17,22.345353747417875,1059.6645947377945,0.07790718980614735,True,1056.5300362424352,3.134558495359215,-0.01848371267398665,0.07465550862883712,-1.4350392588983696,0.02227100330696592,0.475836002722939,True,False,False,2.815753747417876,2.815753747417876,0.8944211157768446,-1.250388212439297,0.21075784843031395,0.803794447783572,11.030409269594319,14.365306288293601,5.945581986248671
1.25,18,23.659786320795394,1059.6645947377945,0.07790718980614735,True,1015.8802181148803,43.784376622914124,-0.015774081745305667,0.07558805985339617,-1.6269147955227996,0.07888527965436307,-0.9806841447395661,True,False,False,4.130186320795396,4.130186320795396,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.25,19,24.974218894172914,1059.6645947377945,0.07790718980614735,True,952.9534126413781,106.71118209641634,-0.029625445617181598,0.060447413766414146,-1.6266427527154477,0.1,1.5912797517226775,True,False,True,5.4446188941729154,5.4446188941729154,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.25,20,26.28865146755044,1059.6645947377945,0.07790718980614735,True,896.6948041247816,162.96979061301283,-0.028387712802457454,0.08380814805240698,-1.6321666986510937,0.1,-2.1317102240311754,True,False,True,6.759051467550442,6.759051467550442,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.25,21,27.603084040927964,1059.6645947377945,0.07790718980614735,True,994.5281295237874,65.1364652140071,-0.02527216765015045,0.06826777537839243,-1.4751692757070913,0.08804901253098238,0.6774931284058171,True,False,False,8.073484040927966,8.073484040927966,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.25,22,28.91751661430548,1059.6645947377945,0.07790718980614735,True,992.3545564251374,67.31003831265707,-0.026135546512975446,0.08261543832073054,-1.6670695632274013,0.09542982286822523,-2.6812319744152266,True,False,False,9.387916614305482,9.387916614305482,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.5,10,13.14432573377522,1255.9044965985288,0.09269241639432114,True,1107.19917039159,148.7053262069387,-0.02445944895768751,0.1,-1.3928842565942774,0.1,-1.1843453726531685,True,True,True,-6.385274266224778,6.385274266224778,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.812436604966345,14.336891647809352,5.913825775276542
1.5,11,14.45875830715274,1255.9044965985288,0.09269241639432114,True,1133.8818946179697,122.0226019805591,-0.033684472331709195,0.1,-1.438678809681406,0.1,1.8412341370317273,True,True,True,-5.070841692847258,5.070841692847258,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.812436604966345,14.336891647809352,5.913825775276542
1.5,12,15.773190880530263,1255.9044965985288,0.09269241639432114,True,1248.6958268618473,7.208669736681486,-0.023501254171827034,0.09705644367853451,-1.3213853572411385,0.03093810079342853,-0.012854120298872961,True,False,False,-3.756409119469735,3.756409119469735,0.25574885022995403,0.6565074114615426,0.03079384123175365,1.8692525774437827,10.812436604966345,14.336891647809352,5.913825775276542
1.5,13,17.08762345390779,1255.9044965985288,0.09269241639432114,True,1159.2644818037206,96.64001479480817,-0.03606771306788364,0.08020135701439088,-1.3397566265468583,0.1,-3.1184248543483455,True,False,True,-2.44197654609221,2.44197654609221,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.812436604966345,14.336891647809352,5.913825775276542
1.5,14,18.402056027285308,1255.9044965985288,0.09269241639432114,True,1123.0144483897875,132.8900482087413,-0.025055062708838723,0.08477519992034198,-1.3528260858632706,0.1,-0.21688254349170322,True,False,True,-1.1275439727146903,1.1275439727146903,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.812436604966345,14.336891647809352,5.913825775276542
1.5,15,19.716488600662828,1255.9044965985288,0.09269241639432114,True,1149.5528551963832,106.35164140214556,-0.031563411178679265,0.07610767929845842,-1.6448117601891354,0.1,2.277956643289334,True,False,True,0.18688860066282942,0.18688860066282942,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.812436604966345,14.336891647809352,5.913825775276542
1.5,16,21.03092117404035,1255.9044965985288,0.09269241639432114,True,1203.5393233156663,52.36517328286254,-0.02439438866240509,0.07647316975258547,-1.4545570202842955,0.08651019027903947,-1.328602356177694,True,False,False,1.5013211740403527,1.5013211740403527,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.812436604966345,14.336891647809352,5.913825775276542
