"ell","q2_center","N_signal","N_Blow","N_Bhigh","N_side_combined","alpha","R_subtracted","variance","z_residual"
-1.50460018201964,0.222106078085562,12,25,18,43,0.284958979033728,-0.253236098450319,15.4916696484736,-0.0643393249809147
-1.48273758171897,0.227015363830365,13,20,16,36,0.284958979033728,2.74147675478578,15.92325831035,0.687018762203988
-1.4608749814183,0.232033161177965,9,19,15,34,0.284958979033728,-0.688605287146764,11.7608550708861,-0.200794079740114
-1.43901238111763,0.23716186859701,8,21,20,41,0.284958979033728,-3.68331814038286,11.3292664090097,-1.09430488323733
-1.41714978081696,0.242403937570312,11,18,17,35,0.284958979033728,1.02643573381951,13.8420566906181,0.275887136242258
-1.39528718051629,0.247761873766635,14,19,15,34,0.284958979033728,4.31139471285324,16.7608550708861,1.05310021007585
-1.37342458021563,0.253238238238388,8,17,11,28,0.284958979033728,0.0211485870556061,10.2736453524945,0.00659810272053566
-1.35156197991496,0.258835648645787,9,22,15,37,0.284958979033728,-1.54348222424795,12.004459930082,-0.44548216238258
-1.32969937961429,0.264556780508076,15,24,10,34,0.284958979033728,5.31139471285324,17.7608550708861,1.2603078511234
-1.30783677931362,0.270404368482408,8,23,16,39,0.284958979033728,-3.11340018231541,11.1668631695458,-0.931685527143535
-1.28597417901295,0.276381207670986,17,14,16,30,0.284958979033728,8.45123062898815,19.4360485919583,1.9169728649566
-1.26411157871228,0.282490154957101,8,18,16,34,0.284958979033728,-1.68860528714676,10.7608550708861,-0.514759954249509
-1.24224897841161,0.288734130370704,10,14,13,27,0.284958979033728,2.30610756608933,12.1924437327625,0.660441234702878
-1.22038637811095,0.295116118484153,11,13,19,32,0.284958979033728,1.88131267092069,13.5984518314222,0.510171562505839
-1.19852377781028,0.30163916983882,13,21,9,30,0.284958979033728,4.45123062898815,15.4360485919583,1.13295335073205
-1.17666117750961,0.308306402403223,18,15,14,29,0.284958979033728,9.73618960802188,20.3548469722264,2.15801819549002
-1.15479857720894,0.315121003063392,6,22,18,40,0.284958979033728,-5.39835916134913,9.24806478927779,-1.77515526005052
-1.13293597690827,0.322086229146179,16,23,16,39,0.284958979033728,4.88659981768459,19.1668631695458,1.11617233281188
-1.1110733766076,0.32920540997623,10,21,14,35,0.284958979033728,0.0264357338195076,12.8420566906181,0.00737690310282201
-1.08921077630693,0.336481948467381,11,22,14,36,0.284958979033728,0.741476754785779,13.92325831035,0.198713375315732
-1.06734817600626,0.343919322749223,12,14,21,35,0.284958979033728,2.02643573381951,14.8420566906181,0.526000058048942
-1.0454855757056,0.351521087829621,11,13,17,30,0.284958979033728,2.45123062898815,13.4360485919583,0.668726281609626
-1.02362297540493,0.359290877293981,12,22,20,42,0.284958979033728,0.0317228805834091,15.4104680287417,0.00808099246789094
-1.00176037510426,0.367232405042075,13,22,16,38,0.284958979033728,2.17155879671832,16.0856615498139,0.541442234564757
-0.97989777480359,0.37534946706326,11,15,16,31,0.284958979033728,2.16627164995442,13.5172502116903,0.589208142205284
-0.958035174502921,0.383645943250927,11,24,18,42,0.284958979033728,-0.968277119416591,14.4104680287417,-0.255070730761649
-0.936172574202253,0.392125799257063,11,15,21,36,0.284958979033728,0.741476754785779,13.92325831035,0.198713375315732
-0.914309973901584,0.400793088387802,12,19,16,35,0.284958979033728,2.02643573381951,14.8420566906181,0.526000058048942
-0.892447373600915,0.409651953540874,17,23,26,49,0.284958979033728,3.03701002734731,20.9788793668653,0.663063440856208
-0.870584773300246,0.418706629185878,16,21,20,41,0.284958979033728,4.31668185961714,19.3292664090097,0.981843696604046
-0.848722172999578,0.427961443388327,11,33,19,52,0.284958979033728,-3.81786690975387,15.2224842260611,-0.978538727913187
-0.826859572698909,0.43742081987843,13,29,20,49,0.284958979033728,-0.962989972652689,16.9788793668653,-0.233704596188605
-0.80499697239824,0.447089280165599,17,23,10,33,0.284958979033728,7.59635369188696,19.6796534511542,1.71236544129207
-0.783134372097572,0.456971445699698,20,31,22,53,0.284958979033728,4.8971741112124,24.3036858457931,0.993366416887776
-0.761271771796903,0.46707204008006,16,31,16,47,0.284958979033728,2.60692798541477,19.8164761274014,0.585619891821887
-0.739409171496234,0.477395891313333,15,20,15,35,0.284958979033728,5.02643573381951,17.8420566906181,1.18997455956812
-0.717546571195566,0.487947934121225,12,34,23,57,0.284958979033728,-4.24266180492252,16.6284923247209,-1.04042786987411
-0.695683970894897,0.498733212299269,12,28,24,52,0.284958979033728,-2.81786690975387,16.2224842260611,-0.699619324617408
-0.673821370594228,0.509756881127716,16,24,24,48,0.284958979033728,2.32196900638104,19.8976777471334,0.520541335536997
-0.65195877029356,0.521024209835719,14,29,22,51,0.284958979033728,-0.532907930720146,18.1412826063292,-0.125117537726115
-0.630096169992891,0.532540584119984,12,24,16,40,0.284958979033728,0.601640838650866,15.2480647892778,0.154074207888659
-0.608233569692222,0.544311508719094,16,35,28,63,0.284958979033728,-1.95241567912489,21.1157020431125,-0.424883165524333
-0.586370969391554,0.556342610044728,18,34,23,57,0.284958979033728,1.75733819507748,22.6284923247209,0.369426069111258
-0.564508369090885,0.568639638871047,21,21,35,56,0.284958979033728,5.04229717411121,25.5472907049889,0.997599017695618
-0.542645768790216,0.581208473083517,20,41,24,65,0.284958979033728,1.47766636280766,25.2781052825764,0.293903073744356
-0.520783168489547,0.594055120488494,16,35,23,58,0.284958979033728,-0.527620783956245,20.7096939444528,-0.115940469439688
-0.498920568188879,0.607185721684908,19,46,26,72,0.284958979033728,-1.51704649042844,24.8465166207,-0.304344974306741
-0.47705796788821,0.620606552999426,32,39,27,66,0.284958979033728,13.1927073837739,37.3593069023084,2.15841288323642
