veto_label,region,active_intervals,delta_ell_A,n1,n2,n3,k1,k2,k3,deltaD1,deltaD2,deltaD3,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20,mean_deltaD,score
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,13.924820663586665,18.05360063486433,13.8,17.740000000000002,23.0,180.459760791382,307.2428258783066,164.88386125612487,0.7779030439684328,0.6482525366403606,0.7130777903043968,0.11275021871307649,2.3742308214706807,217.52881597527116,49.30040263161487
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,14.992337918517771,17.03317972941548,13.8,19.1,21.700000000000003,180.459760791382,366.74036122747475,279.6729506656375,0.7225130890052357,0.5680628272251309,0.6452879581151834,0.11332051906265689,3.0813263580825767,275.6243575614981,59.874804852113044
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,4.976514261958255,8.665728304734879,12.8102070591733,6.34,11.04,16.32,203.68019153397563,172.60162245692163,171.16918822806656,0.5742753623188406,0.7391304347826088,0.6567028985507246,0.1174186987181073,10.819035511620578,182.48366740632127,27.481543233861988
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,16.012758823966625,18.05360063486433,12.36,20.4,23.0,238.74676663009495,328.9053818046218,164.88386125612487,0.6058823529411764,0.5637254901960784,0.5848039215686274,0.11954755793502266,2.214282173345463,244.1786698969472,53.75709387420284
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,14.992337918517771,23.17140394526935,13.8,19.1,29.52,180.459760791382,366.74036122747475,219.23688665845475,0.7225130890052357,0.7727748691099476,0.7476439790575917,0.11990735387690836,3.278773031353837,255.47900289243717,53.032801322516164
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,12.8102070591733,14.992337918517771,12.36,16.32,19.1,238.74676663009495,171.16918822806656,366.74036122747475,0.7573529411764706,0.585171568627451,0.6712622549019608,0.12192395740332938,5.47364296105273,258.8854386952121,47.795620097116306
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,12.8102070591733,13.924820663586665,11.04,16.32,17.740000000000002,172.60162245692163,171.16918822806656,307.2428258783066,0.6764705882352942,0.5435049019607844,0.6099877450980393,0.12355135435757433,6.594185169531083,217.00454552109827,37.82326270191912
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,13.924820663586665,17.03317972941548,13.8,17.740000000000002,21.700000000000003,180.459760791382,307.2428258783066,279.6729506656375,0.7779030439684328,0.6116121758737316,0.6947576099210822,0.12411498133460862,3.263514060483272,255.79184577844202,52.00339257877024
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,18.05360063486433,24.254619983361213,12.36,23.0,30.900000000000002,238.74676663009495,164.88386125612487,193.89722413297432,0.537391304347826,0.6717391304347827,0.6045652173913043,0.12937483986983855,5.2454897444502855,199.1759506730647,35.91510373396414
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,18.05360063486433,23.17140394526935,12.36,23.0,29.52,238.74676663009495,164.88386125612487,219.23688665845475,0.537391304347826,0.6417391304347826,0.5895652173913043,0.13165675586637932,4.412615374172845,207.62250484822485,38.48729359063638
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,13.924820663586665,14.992337918517771,12.36,17.740000000000002,19.1,238.74676663009495,307.2428258783066,366.74036122747475,0.6967305524239006,0.5383314543404735,0.617531003382187,0.13180957457496437,5.130456582687145,304.24331791195874,54.544874182157464
