A_MAX,region,branch_label,branch_class,n_values,k_values,N_events,D_base,D_branch,deltaD,deltaD_per_event,p_fixed_branch,null_mean,null_std,null_95,null_99,A1,amps,max_amp,phases,coef_bound_active,amp_bound_active,bound_active,success_base,success_branch,branch_rank_by_deltaD
0.075,signal_B_signal_Kst,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",15630,1942.5096571670801,1599.3505810594024,343.1590761076777,0.021955155221220584,0.000999000999000999,5.848455718242007,3.285316324372398,11.675400177206601,15.606037012420698,0.07665421834535857,"[0.10606601717798213, 0.10606601717798213, 0.09188829641798503]",0.10606601717798213,"[-0.7853981633974483, 2.356194490192345, -2.1928078098168085]",True,True,True,True,True,5
0.05,signal_B_signal_Kst,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",15630,1956.6514605059988,1644.6677085529604,311.98375195303834,0.019960572741717104,0.000999000999000999,6.040769420950813,3.5676215326933627,12.717149167625767,16.971015016259113,0.051783930024509435,"[0.07071067811865477, 0.07071067811865477, 0.06595004345781094]",0.07071067811865477,"[-0.7853981633974483, -0.7853981633974483, -0.7103255763530067]",True,True,True,True,True,1
0.05,signal_B_signal_Kst,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",15630,1956.6514605059988,1652.0090295558425,304.64243095015627,0.0194908784996901,0.000999000999000999,5.869865169452918,3.4863609752797005,12.135019636705916,16.589084730375117,0.051783930024509435,"[0.05504417509986927, 0.07071067811865477, 0.0510417214557154]",0.07071067811865477,"[2.0022439439742192, 2.356194490192345, 1.7731772437662425]",True,True,True,True,True,2
0.05,signal_B_signal_Kst,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",15630,1956.6514605059988,1665.5379790718744,291.1134814341244,0.01862530271491519,0.000999000999000999,5.950886414846169,3.558750293841802,12.725189064410305,16.725967662296895,0.051783930024509435,"[0.05551179688710051, 0.07071067811865477, 0.07071067811865477]",0.07071067811865477,"[-0.44939647888853124, -2.356194490192345, 0.7853981633974483]",True,True,True,True,True,3
0.05,signal_B_signal_Kst,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",15630,1956.6514605059988,1675.88827583438,280.7631846716188,0.017963095628382518,0.000999000999000999,6.173978477663777,3.5711065990449717,12.82440463773797,16.743757059280217,0.051783930024509435,"[0.07071067811865477, 0.07071067811865477, 0.07071067811865477]",0.07071067811865477,"[-0.7853981633974483, 2.356194490192345, -2.356194490192345]",True,True,True,True,True,4
0.05,signal_B_signal_Kst,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",15630,1956.6514605059988,1679.284616790264,277.36684371573483,0.017745799342017584,0.000999000999000999,5.7916672146749315,3.260054830995126,12.03659810764909,15.694613034444938,0.051783930024509435,"[0.07071067811865477, 0.051691426458751084, 0.0513361704024646]",0.07071067811865477,"[-0.7853981633974483, -1.8273177865453278, -0.2286549957943646]",True,True,True,True,True,5
0.025,signal_B_signal_Kst,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",15630,1979.3038377027306,1794.428404237842,184.8754334648886,0.011828242704087562,0.000999000999000999,6.098089225645331,3.2702896191530946,12.40595777254509,15.09040930135506,0.0273584962763898,"[0.03535533905932738, 0.03535533905932738, 0.03535533905932738]",0.03535533905932738,"[-0.7853981633974483, -0.7853981633974483, -0.7853981633974483]",True,True,True,True,True,1
0.025,signal_B_signal_Kst,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",15630,1979.3038377027306,1800.345743543184,178.9580941595466,0.011449654136887177,0.000999000999000999,6.020586151599885,3.602055391750526,12.725045929478181,17.543396203342283,0.0273584962763898,"[0.03535533905932738, 0.03535533905932738, 0.02635037133835813]",0.03535533905932738,"[2.356194490192345, 2.356194490192345, 1.8923256538110984]",True,True,True,True,True,2
0.025,signal_B_signal_Kst,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",15630,1979.3038377027306,1807.964974487295,171.3388632154356,0.01096217934839639,0.000999000999000999,6.005482335941155,3.4975495116969886,12.775842982817371,16.7863922928691,0.0273584962763898,"[0.03232267103465577, 0.03535533905932738, 0.03535533905932738]",0.03535533905932738,"[-0.6865287701827075, -2.356194490192345, 0.7853981633974483]",True,True,True,True,True,3
0.025,signal_B_signal_Kst,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",15630,1979.3038377027306,1811.321331639355,167.98250606337547,0.010747441206869832,0.000999000999000999,5.978907271801535,3.195746083910867,11.528926129131346,15.449653383496342,0.0273584962763898,"[0.03535533905932738, 0.03535533905932738, 0.03535533905932738]",0.03535533905932738,"[-0.7853981633974483, 2.356194490192345, -2.356194490192345]",True,True,True,True,True,4
