mc,delta_chi2_vs_const,delta_chi2_vs_charm,p_local_rough_vs_const,p_local_rough_vs_charm,best_k,wct_aic_minus_charm_aic,wct_bic_minus_charm_bic,wct_preferred_over_charm_by_aic,wct_preferred_over_charm_by_bic,hit_delta_vs_const,hit_delta_vs_charm,hit_k_window,hit_delta_vs_charm_and_k
155,826.8755368161877,-148.48061499522376,0.0,1.0,2.0,152.48061499522376,154.02579243970334,False,False,True,False,False,False
156,795.5271536184644,-163.12158994912016,0.0,1.0,2.0,167.12158994912016,168.66676739359974,False,False,True,False,False,False
157,850.6091858416524,-177.75939134834738,0.0,1.0,2.0,181.75939134834738,183.30456879282693,False,False,True,False,False,False
158,754.7364111272534,-123.76767151579143,0.0,1.0,2.0,127.76767151579143,129.312848960271,False,False,True,False,False,False
159,811.9565565552232,-192.8950374845494,0.0,1.0,2.0,196.8950374845494,198.44021492902897,False,False,True,False,False,False
160,796.129491116679,-174.2465400716593,0.0,1.0,2.0,178.2465400716593,179.79171751613887,False,False,True,False,False,False
161,815.9647506380929,-171.1515800270648,0.0,1.0,2.0,175.1515800270648,176.69675747154437,False,False,True,False,False,False
162,796.3612518277212,-119.32496034921195,0.0,1.0,2.0,123.32496034921195,124.87013779369153,False,False,True,False,False,False
163,751.8477326240665,-110.1780841049787,0.0,1.0,2.0,114.1780841049787,115.72326154945827,False,False,True,False,False,False
164,755.1328262853134,-135.74020428172167,0.0,1.0,2.0,139.74020428172167,141.28538172620125,False,False,True,False,False,False
165,769.0147134851736,-151.74907266810365,0.0,1.0,2.0,155.74907266810365,157.29425011258323,False,False,True,False,False,False
166,769.58466086628,-177.6048090274906,0.0,1.0,2.0,181.6048090274906,183.14998647197018,False,False,True,False,False,False
167,723.2098006118945,-127.97949611296733,0.0,1.0,2.0,131.97949611296733,133.52467355744687,False,False,True,False,False,False
168,779.602484907586,-177.1432143778223,0.0,1.0,2.0,181.1432143778223,182.68839182230187,False,False,True,False,False,False
169,751.6630730912742,-176.60795272479515,0.0,1.0,2.0,180.60795272479515,182.15313016927473,False,False,True,False,False,False
170,1005.6104301318564,-153.4952293532694,0.0,1.0,2.0,157.4952293532694,159.04040679774897,False,False,True,False,False,False
171,788.9856200204792,-130.2121414672435,0.0,1.0,2.0,134.2121414672435,135.75731891172308,False,False,True,False,False,False
172,805.9067556264623,-196.7233111713602,0.0,1.0,2.0,200.7233111713602,202.26848861583977,False,False,True,False,False,False
173,871.1243243698043,-169.65215407270864,0.0,1.0,2.0,173.65215407270864,175.19733151718822,False,False,True,False,False,False
174,770.4776721911514,-157.73757737200074,0.0,1.0,2.0,161.73757737200074,163.28275481648032,False,False,True,False,False,False
